booking_id,hotel_id,room_id,booking_date,check_in,check_out,status,total_amount
10125,5,501,2024-06-04,2024-08-14,2024-08-19,cancelled,1385.07
10126,4,401,2024-05-10,2024-08-12,2024-08-19,confirmed,513.17
10127,10,1001,2024-05-13,2024-08-08,2024-08-15,cancelled,988.62
10128,4,401,2024-05-28,2024-08-15,2024-08-18,confirmed,1054.73
10129,9,901,2024-06-27,2024-08-05,2024-08-10,confirmed,1007.69
10130,6,601,2024-06-20,2024-07-21,2024-07-28,confirmed,288.77
10131,6,601,2024-06-17,2024-08-15,2024-08-20,confirmed,1627.1
10132,3,301,2024-06-02,2024-07-04,2024-07-08,confirmed,800.38
10133,10,1001,2024-05-25,2024-07-04,2024-07-09,confirmed,1469.83
10134,3,302,2024-05-15,2024-07-02,2024-07-06,confirmed,95.16
10135,8,801,2024-06-17,2024-08-07,2024-08-08,confirmed,679.14
10136,6,601,2024-06-26,2024-08-04,2024-08-05,cancelled,208.02
10137,2,201,2024-05-02,2024-07-31,2024-08-01,confirmed,397.77
10138,10,1001,2024-06-22,2024-08-19,2024-08-25,cancelled,1194.46
10139,3,302,2024-06-04,2024-07-24,2024-07-28,confirmed,1658.27
10140,9,901,2024-06-06,2024-07-25,2024-07-26,confirmed,1221.67
10141,7,701,2024-05-27,2024-07-09,2024-07-15,cancelled,292.86
10142,9,901,2024-05-27,2024-07-26,2024-07-31,confirmed,1763.62
10143,3,301,2024-05-08,2024-07-01,2024-07-08,confirmed,600.2
10144,9,901,2024-05-18,2024-08-16,2024-08-21,confirmed,738.56
10145,1,102,2024-06-16,2024-07-16,2024-07-20,confirmed,561.36
10146,1,101,2024-05-02,2024-08-16,2024-08-23,confirmed,1474.21
10147,3,301,2024-06-04,2024-08-09,2024-08-16,cancelled,1610.26
10148,8,801,2024-06-15,2024-07-14,2024-07-15,confirmed,147.42
10149,4,401,2024-05-23,2024-08-13,2024-08-19,cancelled,508.5
10150,6,601,2024-06-28,2024-07-26,2024-07-30,confirmed,461.53
10151,8,801,2024-05-06,2024-08-19,2024-08-20,confirmed,1788.86
10152,4,401,2024-06-16,2024-08-16,2024-08-21,confirmed,1112.44
10153,2,201,2024-05-18,2024-07-21,2024-07-23,confirmed,334.98
10154,9,901,2024-05-19,2024-08-03,2024-08-05,confirmed,560.51
10155,1,102,2024-05-26,2024-08-07,2024-08-13,cancelled,1160.45
10156,3,302,2024-06-03,2024-08-05,2024-08-09,confirmed,678.95
10157,10,1001,2024-05-20,2024-08-12,2024-08-16,cancelled,635.04
10158,1,101,2024-06-04,2024-07-27,2024-07-29,confirmed,404.43
10159,6,601,2024-05-27,2024-07-31,2024-08-02,cancelled,604.26
10160,5,501,2024-05-16,2024-07-10,2024-07-17,confirmed,188.54
10161,6,601,2024-06-04,2024-07-27,2024-08-01,confirmed,754.2
10162,8,801,2024-06-14,2024-07-14,2024-07-17,confirmed,1667.01
10163,4,401,2024-05-07,2024-07-24,2024-07-25,confirmed,1508.28
10164,4,401,2024-06-27,2024-07-18,2024-07-22,confirmed,1121.0
10165,2,201,2024-05-06,2024-07-05,2024-07-07,cancelled,1094.77
10166,3,302,2024-05-19,2024-08-05,2024-08-07,confirmed,1576.8
10167,10,1001,2024-06-09,2024-07-20,2024-07-21,confirmed,414.94
10168,1,102,2024-05-14,2024-07-08,2024-07-14,cancelled,908.95
10169,2,201,2024-06-15,2024-08-14,2024-08-19,confirmed,768.24
10170,3,301,2024-06-15,2024-08-05,2024-08-08,cancelled,740.93
10171,8,801,2024-05-27,2024-08-11,2024-08-14,confirmed,704.99
10172,4,401,2024-05-05,2024-08-01,2024-08-05,confirmed,1768.05
10173,9,901,2024-05-31,2024-08-18,2024-08-25,confirmed,437.35
10174,3,302,2024-06-10,2024-07-27,2024-07-28,confirmed,468.38
10175,6,601,2024-06-21,2024-07-02,2024-07-05,confirmed,1088.69
10176,10,1001,2024-05-15,2024-07-27,2024-07-30,confirmed,654.07
10177,3,301,2024-06-06,2024-08-06,2024-08-13,confirmed,1031.6
10178,7,701,2024-05-18,2024-07-22,2024-07-25,cancelled,925.54
10179,10,1001,2024-05-15,2024-08-11,2024-08-17,confirmed,377.68
10180,1,102,2024-05-11,2024-07-23,2024-07-25,confirmed,1024.59
10181,5,501,2024-06-19,2024-08-04,2024-08-10,cancelled,985.94
10182,3,301,2024-05-08,2024-07-05,2024-07-12,confirmed,1397.02
10183,1,102,2024-06-04,2024-07-09,2024-07-16,confirmed,206.23
10184,1,101,2024-06-21,2024-07-01,2024-07-03,confirmed,728.17
10185,4,401,2024-05-22,2024-08-10,2024-08-16,cancelled,1650.8
10186,7,701,2024-05-19,2024-08-01,2024-08-02,confirmed,1033.31
10187,7,701,2024-06-30,2024-07-02,2024-07-07,cancelled,1006.11
10188,8,801,2024-06-12,2024-07-02,2024-07-07,cancelled,1242.6
10189,1,102,2024-05-10,2024-07-12,2024-07-13,cancelled,986.7
10190,8,801,2024-06-15,2024-07-13,2024-07-18,confirmed,1484.02
10191,3,302,2024-06-13,2024-08-20,2024-08-24,confirmed,1730.4
10192,1,102,2024-06-01,2024-08-06,2024-08-08,cancelled,476.22
10193,8,801,2024-05-18,2024-07-06,2024-07-12,cancelled,1201.32
10194,3,302,2024-06-28,2024-07-06,2024-07-10,confirmed,1035.12
10195,7,701,2024-06-27,2024-08-10,2024-08-11,confirmed,231.39
10196,3,302,2024-05-07,2024-07-28,2024-08-03,cancelled,1057.61
10197,3,301,2024-05-07,2024-07-07,2024-07-12,cancelled,482.9
10198,2,201,2024-05-04,2024-08-14,2024-08-19,confirmed,169.62
10199,5,501,2024-06-26,2024-08-13,2024-08-16,cancelled,1053.6
10200,1,101,2024-06-28,2024-07-12,2024-07-19,confirmed,1734.11
10201,3,301,2024-05-24,2024-07-10,2024-07-17,cancelled,1493.74
10202,5,501,2024-05-02,2024-07-05,2024-07-08,confirmed,501.21
10203,2,201,2024-05-08,2024-07-25,2024-07-31,cancelled,657.26
10204,1,102,2024-05-13,2024-08-17,2024-08-19,cancelled,1268.72
10205,5,501,2024-06-25,2024-08-02,2024-08-08,cancelled,181.82
10206,3,302,2024-06-03,2024-07-15,2024-07-22,confirmed,1124.84
10207,1,102,2024-05-22,2024-08-08,2024-08-12,cancelled,648.1
10208,7,701,2024-05-21,2024-07-18,2024-07-25,cancelled,928.93
10209,7,701,2024-06-08,2024-08-05,2024-08-09,confirmed,1252.28
10210,5,501,2024-05-19,2024-07-25,2024-07-26,cancelled,595.1
10211,3,301,2024-06-15,2024-08-15,2024-08-16,confirmed,353.72
10212,6,601,2024-05-16,2024-08-20,2024-08-26,confirmed,756.25
10213,8,801,2024-06-07,2024-07-07,2024-07-08,confirmed,617.14
10214,3,302,2024-06-07,2024-08-18,2024-08-21,confirmed,239.28
10215,3,301,2024-06-03,2024-07-29,2024-08-03,confirmed,787.76
10216,3,301,2024-06-29,2024-07-06,2024-07-09,confirmed,1110.74
10217,9,901,2024-05-11,2024-07-21,2024-07-28,confirmed,589.06
10218,5,501,2024-06-06,2024-08-19,2024-08-20,cancelled,1046.81
10219,1,101,2024-06-15,2024-08-06,2024-08-11,confirmed,741.05
10220,5,501,2024-06-22,2024-07-18,2024-07-21,confirmed,339.55
10221,8,801,2024-06-20,2024-07-28,2024-07-31,confirmed,918.04
10222,10,1001,2024-06-26,2024-07-24,2024-07-27,cancelled,1322.74
10223,4,401,2024-05-30,2024-08-08,2024-08-13,confirmed,272.92
10224,3,301,2024-06-11,2024-07-01,2024-07-05,confirmed,1150.53
10225,10,1001,2024-05-10,2024-07-22,2024-07-26,confirmed,1484.46
10226,3,301,2024-05-06,2024-08-11,2024-08-16,confirmed,638.34
10227,3,302,2024-05-17,2024-07-13,2024-07-17,confirmed,1739.42
10228,6,601,2024-06-10,2024-07-19,2024-07-25,confirmed,929.62
10229,3,301,2024-05-25,2024-08-20,2024-08-22,confirmed,569.31
10230,1,101,2024-05-11,2024-07-26,2024-07-29,confirmed,1054.18
10231,1,101,2024-05-24,2024-08-04,2024-08-06,confirmed,1030.67
10232,8,801,2024-05-15,2024-07-30,2024-08-05,confirmed,1454.04
10233,1,102,2024-05-08,2024-08-14,2024-08-15,cancelled,1450.57
10234,2,201,2024-06-04,2024-08-13,2024-08-17,confirmed,607.84
10235,1,101,2024-06-14,2024-08-12,2024-08-14,confirmed,1439.32
10236,4,401,2024-06-26,2024-07-29,2024-08-03,confirmed,775.38
10237,1,102,2024-05-29,2024-08-14,2024-08-18,confirmed,1442.13
10238,7,701,2024-06-07,2024-08-14,2024-08-21,confirmed,1181.29
10239,3,301,2024-06-25,2024-07-07,2024-07-14,confirmed,1226.63
10240,3,302,2024-06-20,2024-08-11,2024-08-16,confirmed,1771.97
10241,10,1001,2024-05-18,2024-08-11,2024-08-15,cancelled,657.03
10242,1,101,2024-05-11,2024-07-28,2024-07-29,confirmed,532.44
10243,9,901,2024-05-29,2024-08-17,2024-08-22,confirmed,1265.91
10244,4,401,2024-06-16,2024-07-29,2024-08-01,confirmed,1410.71
10245,9,901,2024-05-24,2024-08-14,2024-08-19,confirmed,1796.07
10246,7,701,2024-05-31,2024-07-07,2024-07-10,confirmed,1734.55
10247,3,302,2024-06-23,2024-08-16,2024-08-18,confirmed,676.64
10248,7,701,2024-05-11,2024-07-14,2024-07-19,confirmed,904.24
10249,10,1001,2024-06-02,2024-08-16,2024-08-22,confirmed,204.87
10250,9,901,2024-06-28,2024-08-15,2024-08-16,confirmed,676.66
10251,1,102,2024-06-24,2024-08-13,2024-08-20,confirmed,1772.47
10252,10,1001,2024-06-15,2024-08-03,2024-08-05,confirmed,655.99
10253,9,901,2024-06-03,2024-07-30,2024-08-01,cancelled,1166.89
10254,1,101,2024-06-19,2024-08-10,2024-08-16,confirmed,139.92
10255,9,901,2024-05-22,2024-07-13,2024-07-17,confirmed,754.91
10256,5,501,2024-05-16,2024-07-14,2024-07-16,confirmed,1293.43
10257,8,801,2024-05-11,2024-07-05,2024-07-10,confirmed,1581.08
10258,9,901,2024-06-19,2024-07-24,2024-07-27,confirmed,284.86
10259,8,801,2024-05-19,2024-08-01,2024-08-06,cancelled,625.92
10260,8,801,2024-06-06,2024-08-09,2024-08-13,confirmed,684.95
10261,9,901,2024-05-07,2024-07-30,2024-08-04,confirmed,1241.84
10262,10,1001,2024-05-10,2024-07-20,2024-07-25,confirmed,1239.31
10263,9,901,2024-06-10,2024-07-08,2024-07-10,confirmed,403.01
10264,10,1001,2024-05-17,2024-07-10,2024-07-15,confirmed,1109.89
10265,10,1001,2024-05-25,2024-07-25,2024-07-29,confirmed,1176.71
10266,7,701,2024-05-17,2024-08-11,2024-08-13,confirmed,927.29
10267,1,102,2024-06-22,2024-07-12,2024-07-15,cancelled,1149.19
10268,6,601,2024-05-06,2024-07-23,2024-07-24,confirmed,423.67
10269,9,901,2024-06-06,2024-08-05,2024-08-10,confirmed,789.62
10270,3,301,2024-05-30,2024-07-27,2024-08-02,cancelled,925.68
10271,1,102,2024-06-25,2024-08-06,2024-08-07,cancelled,467.11
10272,1,102,2024-06-28,2024-07-18,2024-07-20,confirmed,377.64
10273,3,301,2024-06-01,2024-08-06,2024-08-12,cancelled,936.99
10274,8,801,2024-05-29,2024-07-08,2024-07-13,confirmed,1415.44
10275,2,201,2024-05-09,2024-07-24,2024-07-29,cancelled,161.15
10276,1,101,2024-05-15,2024-07-29,2024-08-03,confirmed,817.01
10277,8,801,2024-05-14,2024-08-11,2024-08-18,confirmed,1585.92
10278,5,501,2024-06-28,2024-07-29,2024-08-01,confirmed,1486.61
10279,10,1001,2024-06-02,2024-07-08,2024-07-15,cancelled,448.89
10280,3,302,2024-05-14,2024-08-07,2024-08-13,confirmed,1305.39
10281,6,601,2024-05-21,2024-07-28,2024-07-30,confirmed,1432.09
10282,3,301,2024-05-09,2024-07-14,2024-07-21,confirmed,689.89
10283,3,301,2024-06-13,2024-08-08,2024-08-13,confirmed,1764.09
10284,5,501,2024-06-12,2024-07-19,2024-07-24,confirmed,1557.21
10285,3,302,2024-05-04,2024-08-13,2024-08-20,confirmed,1736.34
10286,3,302,2024-05-11,2024-07-27,2024-07-28,cancelled,1572.65
10287,1,101,2024-06-22,2024-08-14,2024-08-21,confirmed,340.08
10288,8,801,2024-06-10,2024-07-16,2024-07-23,cancelled,761.52
10289,10,1001,2024-06-21,2024-08-06,2024-08-12,confirmed,798.32
10290,8,801,2024-06-02,2024-07-05,2024-07-11,cancelled,1404.79
10291,3,301,2024-06-05,2024-08-02,2024-08-08,confirmed,1691.13
10292,4,401,2024-06-07,2024-07-30,2024-08-03,confirmed,94.23
10293,1,102,2024-05-12,2024-08-16,2024-08-17,cancelled,873.95
10294,2,201,2024-05-19,2024-08-14,2024-08-17,cancelled,1450.61
10295,3,301,2024-06-05,2024-07-14,2024-07-18,cancelled,935.96
10296,7,701,2024-06-10,2024-07-19,2024-07-22,confirmed,313.32
10297,7,701,2024-05-07,2024-08-01,2024-08-08,confirmed,1257.16
10298,1,101,2024-06-27,2024-07-03,2024-07-04,confirmed,1520.76
10299,7,701,2024-06-29,2024-07-08,2024-07-15,confirmed,870.65
10300,5,501,2024-06-03,2024-07-13,2024-07-19,cancelled,1598.47
10301,6,601,2024-06-11,2024-07-11,2024-07-18,cancelled,558.57
10302,10,1001,2024-05-20,2024-07-24,2024-07-27,confirmed,1226.31
10303,3,301,2024-05-20,2024-07-11,2024-07-12,confirmed,612.42
10304,2,201,2024-05-17,2024-08-18,2024-08-20,confirmed,245.95
10305,6,601,2024-06-24,2024-07-01,2024-07-03,confirmed,316.92
10306,6,601,2024-06-16,2024-08-03,2024-08-09,confirmed,103.79
10307,5,501,2024-06-09,2024-07-08,2024-07-15,confirmed,316.02
10308,1,102,2024-06-26,2024-07-15,2024-07-19,confirmed,1468.19
10309,2,201,2024-06-24,2024-07-21,2024-07-24,cancelled,324.49
10310,1,102,2024-05-12,2024-08-18,2024-08-25,confirmed,1787.93
10311,9,901,2024-06-21,2024-07-05,2024-07-10,confirmed,1133.65
10312,6,601,2024-06-20,2024-07-29,2024-08-01,cancelled,1164.02
10313,5,501,2024-06-21,2024-07-27,2024-08-01,confirmed,1560.54
10314,4,401,2024-06-25,2024-07-07,2024-07-09,cancelled,1098.17
10315,8,801,2024-06-06,2024-07-23,2024-07-27,confirmed,329.11
10316,10,1001,2024-06-13,2024-08-11,2024-08-12,confirmed,1117.71
10317,8,801,2024-05-15,2024-08-08,2024-08-11,cancelled,1270.71
10318,9,901,2024-05-07,2024-08-12,2024-08-15,confirmed,1127.84
10319,5,501,2024-06-18,2024-08-17,2024-08-21,confirmed,183.31
10320,10,1001,2024-05-04,2024-08-20,2024-08-22,confirmed,282.79
10321,7,701,2024-05-30,2024-08-10,2024-08-15,confirmed,1609.72
10322,10,1001,2024-06-30,2024-07-24,2024-07-27,confirmed,1561.99
10323,8,801,2024-05-25,2024-07-27,2024-07-30,confirmed,385.44
10324,3,301,2024-05-31,2024-08-19,2024-08-20,confirmed,205.48
10325,4,401,2024-06-14,2024-07-14,2024-07-15,cancelled,1712.24
10326,6,601,2024-06-05,2024-08-02,2024-08-05,confirmed,946.79
10327,9,901,2024-06-04,2024-07-28,2024-08-03,confirmed,1185.32
10328,5,501,2024-05-27,2024-08-09,2024-08-11,confirmed,619.94
10329,10,1001,2024-05-29,2024-07-14,2024-07-21,confirmed,648.74
10330,1,101,2024-05-24,2024-08-10,2024-08-17,cancelled,1254.61
10331,10,1001,2024-06-26,2024-07-20,2024-07-26,confirmed,1720.36
10332,3,301,2024-06-15,2024-07-04,2024-07-06,confirmed,832.97
10333,8,801,2024-06-01,2024-08-09,2024-08-14,confirmed,1229.0
10334,5,501,2024-05-19,2024-08-17,2024-08-19,confirmed,1300.51
10335,7,701,2024-05-17,2024-07-01,2024-07-03,confirmed,682.87
10336,1,102,2024-05-28,2024-08-20,2024-08-27,cancelled,375.51
10337,9,901,2024-06-22,2024-08-17,2024-08-24,cancelled,1343.32
10338,3,301,2024-06-23,2024-08-19,2024-08-20,confirmed,824.15
10339,6,601,2024-05-28,2024-07-05,2024-07-08,confirmed,1076.07
10340,3,302,2024-06-26,2024-08-01,2024-08-05,confirmed,184.8
10341,2,201,2024-05-07,2024-08-06,2024-08-08,confirmed,526.25
10342,3,301,2024-06-24,2024-08-06,2024-08-12,cancelled,480.57
10343,10,1001,2024-05-29,2024-07-01,2024-07-02,cancelled,111.01
10344,9,901,2024-06-28,2024-07-31,2024-08-03,confirmed,346.64
10345,6,601,2024-05-02,2024-07-03,2024-07-08,cancelled,1310.98
10346,4,401,2024-05-20,2024-07-27,2024-07-29,confirmed,801.8
10347,3,301,2024-05-15,2024-07-21,2024-07-24,cancelled,1067.33
10348,9,901,2024-06-23,2024-08-02,2024-08-08,cancelled,396.68
10349,1,102,2024-05-10,2024-08-03,2024-08-04,cancelled,207.86
10350,1,101,2024-06-01,2024-07-19,2024-07-26,cancelled,649.68
10351,7,701,2024-05-26,2024-07-30,2024-07-31,confirmed,588.63
10352,1,101,2024-05-11,2024-07-20,2024-07-26,confirmed,883.31
10353,8,801,2024-05-24,2024-08-01,2024-08-08,cancelled,1342.51
10354,9,901,2024-05-27,2024-08-18,2024-08-25,confirmed,100.91
10355,3,302,2024-06-04,2024-07-02,2024-07-04,confirmed,1177.46
10356,6,601,2024-05-17,2024-07-01,2024-07-04,confirmed,1213.99
10357,4,401,2024-05-07,2024-08-17,2024-08-23,confirmed,440.88
10358,1,101,2024-06-15,2024-07-27,2024-07-31,cancelled,1753.08
10359,7,701,2024-06-21,2024-08-15,2024-08-18,confirmed,1665.38
10360,3,301,2024-05-04,2024-08-03,2024-08-07,confirmed,726.96
10361,1,101,2024-05-14,2024-07-06,2024-07-11,confirmed,318.31
10362,1,101,2024-05-09,2024-07-26,2024-07-27,confirmed,196.5
10363,2,201,2024-05-19,2024-07-09,2024-07-11,confirmed,1545.06
10364,1,101,2024-05-02,2024-07-26,2024-08-01,cancelled,647.89
10365,6,601,2024-06-02,2024-07-18,2024-07-20,confirmed,436.64
10366,2,201,2024-05-12,2024-08-19,2024-08-24,confirmed,270.67
10367,3,301,2024-06-02,2024-07-30,2024-08-02,confirmed,1006.43
10368,2,201,2024-05-12,2024-07-14,2024-07-18,confirmed,543.16
10369,1,102,2024-06-23,2024-07-06,2024-07-08,cancelled,610.21
10370,7,701,2024-05-16,2024-08-14,2024-08-19,confirmed,1519.43
10371,1,102,2024-06-10,2024-07-10,2024-07-11,confirmed,1745.96
